x_acc,y_acc,z_acc
0.164,-0.559,0.82
0.148,-0.547,0.809
0.133,-0.543,0.793
0.117,-0.543,0.785
0.113,-0.555,0.773
0.117,-0.563,0.762
0.129,-0.563,0.754
0.145,-0.563,0.746
0.156,-0.551,0.742
0.164,-0.547,0.742
0.168,-0.547,0.746
0.176,-0.551,0.754
0.184,-0.547,0.777
0.184,-0.539,0.801
0.188,-0.531,0.832
0.203,-0.531,0.852
0.211,-0.547,0.867
0.223,-0.563,0.875
0.219,-0.574,0.875
0.215,-0.59,0.859
0.223,-0.605,0.836
0.234,-0.629,0.816
0.227,-0.656,0.789
0.219,-0.684,0.758
0.207,-0.695,0.738
0.191,-0.703,0.711
0.168,-0.703,0.699
0.141,-0.727,0.711
0.121,-0.781,0.758
0.105,-0.828,0.809
0.07,-0.801,0.848
0.059,-0.699,0.934
0.078,-0.566,1.035
0.086,-0.438,1.094
0.063,-0.391,1.102
0.035,-0.422,1.066
0.02,-0.457,1.004
0.008,-0.469,0.926
0.012,-0.445,0.875
0.023,-0.414,0.852
0.035,-0.418,0.848
0.02,-0.453,0.848
-0.008,-0.496,0.84
-0.031,-0.531,0.836
-0.016,-0.555,0.84
0.023,-0.551,0.855
0.07,-0.535,0.871
0.09,-0.527,0.875
0.09,-0.539,0.871
0.094,-0.555,0.871
0.098,-0.555,0.863
0.102,-0.555,0.859
0.102,-0.551,0.859
0.102,-0.551,0.859
0.109,-0.547,0.852
0.117,-0.551,0.848
0.125,-0.539,0.848
0.129,-0.539,0.848
0.141,-0.551,0.844
0.148,-0.559,0.832
0.152,-0.563,0.82
0.152,-0.582,0.813
0.145,-0.59,0.809
0.133,-0.59,0.797
0.121,-0.59,0.793
0.117,-0.586,0.789
0.105,-0.594,0.785
0.094,-0.598,0.77
0.09,-0.598,0.766
0.074,-0.59,0.77
0.066,-0.586,0.773
0.063,-0.57,0.781
0.051,-0.574,0.789
0.043,-0.57,0.797
0.023,-0.563,0.805
0.0,-0.551,0.813
-0.027,-0.543,0.816
-0.043,-0.535,0.809
-0.031,-0.531,0.793
-0.016,-0.551,0.77
-0.008,-0.598,0.723
0.0,-0.672,0.695
0.012,-0.762,0.723
0.145,-0.805,0.785
0.336,-0.77,0.867
0.414,-0.672,0.98
0.371,-0.566,1.113
0.305,-0.5,1.219
0.258,-0.5,1.246
0.258,-0.504,1.234
0.309,-0.477,1.191
0.355,-0.461,1.129
0.363,-0.484,1.063
0.316,-0.512,1.008
0.246,-0.551,0.961
0.203,-0.566,0.941
0.191,-0.566,0.934
0.188,-0.559,0.93
0.168,-0.543,0.922
0.152,-0.52,0.906
0.133,-0.508,0.895
0.129,-0.484,0.879
0.137,-0.473,0.855
0.145,-0.465,0.824
0.141,-0.469,0.789
0.137,-0.465,0.762
0.137,-0.477,0.734
0.125,-0.477,0.723
0.121,-0.473,0.715
0.109,-0.48,0.719
0.105,-0.496,0.715
0.109,-0.516,0.715
0.117,-0.535,0.711
0.121,-0.551,0.715
0.133,-0.57,0.719
0.145,-0.602,0.719
0.152,-0.637,0.719
0.176,-0.656,0.727
0.199,-0.664,0.738
0.227,-0.668,0.746
0.242,-0.648,0.754
0.25,-0.621,0.777
0.254,-0.566,0.801
0.238,-0.52,0.813
0.219,-0.488,0.832
0.223,-0.473,0.84
0.238,-0.492,0.844
0.246,-0.547,0.852
0.242,-0.598,0.848
0.219,-0.621,0.832
0.203,-0.641,0.828
0.172,-0.691,0.828
0.109,-0.793,0.852
0.035,-0.805,0.883
-0.043,-0.75,0.969
-0.066,-0.645,1.086
-0.035,-0.527,1.18
-0.031,-0.434,1.188
-0.059,-0.387,1.141
-0.113,-0.402,1.07
-0.164,-0.422,1.0
-0.188,-0.441,0.941
-0.176,-0.469,0.887
-0.129,-0.496,0.863
-0.066,-0.504,0.852
-0.016,-0.523,0.852
0.023,-0.547,0.855
0.043,-0.566,0.844
0.066,-0.578,0.844
0.082,-0.563,0.855
0.086,-0.523,0.859
0.094,-0.484,0.863
0.098,-0.469,0.863
0.102,-0.473,0.859
0.105,-0.477,0.855
0.113,-0.488,0.844
0.109,-0.484,0.824
0.105,-0.469,0.809
0.102,-0.465,0.809
0.098,-0.473,0.805
0.09,-0.48,0.809
0.082,-0.492,0.805
0.074,-0.504,0.809
0.078,-0.516,0.82
0.086,-0.523,0.828
0.09,-0.535,0.82
0.098,-0.555,0.813
0.094,-0.578,0.805
0.082,-0.59,0.805
0.074,-0.586,0.805
0.066,-0.57,0.813
0.059,-0.547,0.836
0.055,-0.531,0.852
0.043,-0.52,0.867
0.027,-0.52,0.871
0.012,-0.523,0.859
0.0,-0.535,0.836
-0.008,-0.555,0.805
-0.004,-0.578,0.785
0.004,-0.621,0.77
0.031,-0.664,0.762
0.055,-0.723,0.738
0.047,-0.797,0.707
0.027,-0.871,0.715
0.09,-0.93,0.754
0.215,-0.879,0.813
0.301,-0.762,0.918
0.313,-0.645,1.055
0.285,-0.523,1.16
0.246,-0.449,1.199
0.211,-0.477,1.176
0.207,-0.531,1.129
0.246,-0.527,1.09
0.277,-0.508,1.047
0.27,-0.504,0.996
0.234,-0.508,0.957
0.195,-0.52,0.938
0.176,-0.531,0.922
0.152,-0.535,0.902
0.137,-0.523,0.898
0.117,-0.484,0.895
0.117,-0.441,0.887
0.121,-0.422,0.879
0.117,-0.418,0.863
0.109,-0.434,0.844
0.086,-0.438,0.824
0.074,-0.434,0.801
0.063,-0.43,0.793
0.074,-0.438,0.789
0.09,-0.453,0.781
0.113,-0.473,0.785
0.137,-0.496,0.781
0.145,-0.523,0.773
0.148,-0.551,0.766
0.152,-0.578,0.762
0.16,-0.59,0.758
0.176,-0.602,0.758
0.172,-0.621,0.758
0.172,-0.629,0.758
0.172,-0.629,0.762
0.172,-0.613,0.758
0.18,-0.602,0.766
0.188,-0.59,0.781
0.191,-0.57,0.797
0.191,-0.547,0.813
0.188,-0.535,0.836
0.188,-0.543,0.84
0.184,-0.563,0.82
0.172,-0.598,0.789
0.172,-0.648,0.77
0.176,-0.676,0.746
0.172,-0.695,0.734
0.168,-0.703,0.73
0.16,-0.684,0.723
0.129,-0.68,0.727
0.074,-0.734,0.754
-0.004,-0.762,0.766
-0.09,-0.723,0.789
-0.129,-0.652,0.852
-0.105,-0.586,0.953
-0.074,-0.543,1.039
-0.066,-0.5,1.059
-0.07,-0.477,1.059
-0.109,-0.496,1.035
-0.152,-0.496,0.988
-0.148,-0.512,0.953
-0.098,-0.543,0.926
-0.027,-0.57,0.91
0.027,-0.578,0.906
0.078,-0.59,0.922
0.102,-0.598,0.922
0.117,-0.605,0.922
0.137,-0.594,0.93
0.152,-0.563,0.934
0.168,-0.527,0.93
0.176,-0.5,0.918
0.16,-0.488,0.891
0.137,-0.488,0.855
0.113,-0.5,0.82
0.098,-0.512,0.805
0.094,-0.504,0.805
0.105,-0.496,0.805
0.117,-0.496,0.809
0.121,-0.5,0.809
0.105,-0.52,0.809
0.098,-0.531,0.801
0.098,-0.547,0.801
0.094,-0.551,0.789
0.086,-0.559,0.785
0.07,-0.563,0.777
0.063,-0.574,0.777
0.051,-0.578,0.77
0.031,-0.59,0.762
0.008,-0.594,0.758
-0.008,-0.578,0.754
-0.02,-0.57,0.75
-0.031,-0.566,0.742
-0.027,-0.559,0.727
-0.012,-0.551,0.711
0.008,-0.535,0.703
0.023,-0.523,0.707
0.027,-0.527,0.715
0.016,-0.563,0.715
-0.004,-0.617,0.719
-0.035,-0.715,0.758
0.07,-0.793,0.852
0.313,-0.82,0.965
0.449,-0.781,1.051
0.402,-0.672,1.191
0.293,-0.523,1.316
0.18,-0.449,1.324
0.117,-0.465,1.258
0.145,-0.527,1.199
0.227,-0.559,1.156
0.297,-0.539,1.105
0.309,-0.504,1.055
0.277,-0.48,1.023
0.23,-0.496,1.008
0.188,-0.527,0.988
0.168,-0.563,0.961
0.129,-0.555,0.93
0.094,-0.523,0.922
0.094,-0.48,0.906
0.109,-0.449,0.883
0.117,-0.445,0.852
0.117,-0.445,0.809
0.105,-0.449,0.785
0.094,-0.449,0.754
0.09,-0.445,0.742
0.094,-0.441,0.727
0.09,-0.445,0.719
0.09,-0.449,0.711
0.086,-0.465,0.719
0.082,-0.477,0.719
0.07,-0.488,0.719
0.082,-0.508,0.727
0.09,-0.52,0.734
0.105,-0.543,0.738
0.129,-0.559,0.75
0.148,-0.566,0.754
0.168,-0.574,0.758
0.176,-0.582,0.766
0.184,-0.59,0.773
0.191,-0.598,0.785
0.195,-0.598,0.801
0.199,-0.609,0.813
0.199,-0.617,0.82
0.207,-0.617,0.836
0.215,-0.625,0.844
0.215,-0.637,0.852
0.207,-0.652,0.848
0.203,-0.664,0.836
0.191,-0.664,0.828
0.195,-0.645,0.828
0.207,-0.621,0.84
0.203,-0.602,0.828
0.16,-0.629,0.809
0.078,-0.699,0.828
-0.016,-0.695,0.879
-0.102,-0.598,0.973
-0.121,-0.445,1.098
-0.094,-0.324,1.18
-0.078,-0.289,1.164
-0.098,-0.305,1.094
-0.145,-0.359,1.008
-0.188,-0.41,0.949
-0.191,-0.465,0.926
-0.148,-0.543,0.914
-0.082,-0.613,0.914
-0.008,-0.629,0.949
0.031,-0.598,0.977
0.035,-0.559,0.988
0.039,-0.516,0.98
0.031,-0.5,0.965
0.027,-0.496,0.949
0.035,-0.492,0.934
0.047,-0.484,0.91
0.055,-0.48,0.891
0.07,-0.469,0.867
0.09,-0.465,0.859
0.09,-0.469,0.852
0.09,-0.465,0.832
0.086,-0.461,0.824
0.082,-0.461,0.809
0.066,-0.473,0.785
0.043,-0.484,0.773
0.059,-0.5,0.762
0.09,-0.516,0.746
0.105,-0.52,0.742
0.105,-0.527,0.75
0.094,-0.535,0.762
0.094,-0.535,0.785
0.086,-0.551,0.801
0.074,-0.57,0.809
0.051,-0.578,0.805
0.023,-0.574,0.809
-0.004,-0.566,0.816
-0.02,-0.566,0.816
