,-0.066,-0.848,0.574
3972,-0.059,-0.844,0.543
3973,-0.063,-0.852,0.539
3974,-0.07,-0.855,0.535
3975,-0.07,-0.863,0.523
3976,-0.063,-0.863,0.52
3977,-0.066,-0.871,0.512
3978,-0.063,-0.875,0.508
3979,-0.059,-0.875,0.508
3980,-0.055,-0.867,0.508
3981,-0.055,-0.855,0.508
3982,-0.055,-0.855,0.508
3983,-0.055,-0.859,0.508
3984,-0.063,-0.855,0.504
3985,-0.07,-0.863,0.5
3986,-0.07,-0.859,0.488
3987,-0.074,-0.855,0.477
3988,-0.074,-0.863,0.477
3989,-0.07,-0.863,0.484
3990,-0.066,-0.867,0.484
3991,-0.066,-0.867,0.488
3992,-0.07,-0.863,0.488
3993,-0.074,-0.863,0.496
3994,-0.074,-0.859,0.508
3995,-0.074,-0.859,0.504
3996,-0.082,-0.867,0.504
3997,-0.09,-0.883,0.504
3998,-0.09,-0.891,0.504
3999,-0.098,-0.883,0.496
4000,-0.105,-0.883,0.496
4001,-0.109,-0.883,0.496
4002,-0.113,-0.891,0.496
4003,-0.109,-0.91,0.5
4004,-0.109,-0.934,0.504
4005,-0.105,-0.953,0.504
4006,-0.094,-0.969,0.504
4007,-0.086,-0.984,0.5
4008,-0.082,-0.988,0.5
4009,-0.066,-1.0,0.508
4010,-0.051,-1.012,0.512
4011,-0.043,-1.012,0.52
4012,-0.039,-0.996,0.523
4013,-0.039,-0.973,0.523
4014,-0.043,-0.945,0.516
4015,-0.055,-0.918,0.516
4016,-0.066,-0.906,0.516
4017,-0.066,-0.895,0.52
4018,-0.059,-0.883,0.523
4019,-0.055,-0.859,0.52
4020,-0.051,-0.84,0.52
4021,-0.047,-0.813,0.516
4022,-0.047,-0.797,0.52
4023,-0.039,-0.789,0.527
4024,-0.039,-0.781,0.523
4025,-0.02,-0.773,0.527
4026,-0.004,-0.766,0.531
4027,0.008,-0.766,0.531
4028,0.023,-0.773,0.527
4029,0.031,-0.785,0.531
4030,0.047,-0.805,0.535
4031,0.055,-0.824,0.543
4032,0.063,-0.84,0.551
4033,0.066,-0.848,0.563
4034,0.063,-0.859,0.578
4035,0.066,-0.867,0.586
4036,0.063,-0.875,0.594
4037,0.059,-0.887,0.594
4038,0.055,-0.902,0.594
4039,0.047,-0.922,0.586
4040,0.039,-0.938,0.578
4041,0.023,-0.934,0.574
4042,0.008,-0.918,0.574
4043,0.0,-0.898,0.566
4044,0.004,-0.887,0.559
4045,-0.004,-0.883,0.547
4046,-0.012,-0.879,0.535
4047,-0.027,-0.879,0.527
4048,-0.031,-0.875,0.52
4049,-0.031,-0.867,0.516
4050,-0.027,-0.859,0.508
4051,-0.02,-0.855,0.496
4052,-0.016,-0.852,0.492
4053,-0.012,-0.848,0.48
4054,-0.012,-0.855,0.484
4055,-0.012,-0.859,0.48
4056,-0.008,-0.863,0.477
4057,0.0,-0.867,0.477
4058,-0.004,-0.859,0.473
4059,0.012,-0.852,0.48
4060,0.02,-0.84,0.477
4061,0.023,-0.84,0.469
4062,0.027,-0.84,0.469
4063,0.035,-0.844,0.473
4064,0.035,-0.852,0.477
4065,0.039,-0.855,0.48
4066,0.039,-0.852,0.48
4067,0.035,-0.852,0.484
4068,0.035,-0.855,0.488
4069,0.031,-0.867,0.5
4070,0.027,-0.883,0.512
4071,0.027,-0.887,0.523
4072,0.027,-0.879,0.527
4073,0.023,-0.871,0.523
4074,0.023,-0.859,0.516
4075,0.023,-0.855,0.512
4076,0.008,-0.871,0.5
4077,0.0,-0.906,0.48
4078,-0.016,-0.988,0.473
4079,-0.039,-1.09,0.48
4080,-0.078,-1.137,0.496
4081,-0.125,-1.105,0.527
4082,-0.148,-1.043,0.57
4083,-0.164,-0.984,0.602
4084,-0.16,-0.941,0.625
4085,-0.152,-0.941,0.633
4086,-0.145,-0.973,0.629
4087,-0.152,-1.004,0.609
4088,-0.152,-0.977,0.598
4089,-0.148,-0.93,0.586
4090,-0.137,-0.879,0.574
4091,-0.121,-0.852,0.566
4092,-0.109,-0.832,0.559
4093,-0.102,-0.816,0.559
4094,-0.102,-0.813,0.566
4095,-0.109,-0.82,0.578
4096,-0.121,-0.824,0.586
4097,-0.129,-0.824,0.598
4098,-0.141,-0.82,0.605
4099,-0.145,-0.801,0.617
4100,-0.145,-0.785,0.633
4101,-0.145,-0.77,0.641
4102,-0.152,-0.766,0.645
4103,-0.156,-0.77,0.652
4104,-0.148,-0.777,0.652
4105,-0.145,-0.785,0.656
4106,-0.137,-0.797,0.66
4107,-0.137,-0.805,0.656
4108,-0.148,-0.805,0.652
4109,-0.141,-0.801,0.656
4110,-0.145,-0.801,0.645
4111,-0.145,-0.809,0.637
4112,-0.133,-0.813,0.637
4113,-0.117,-0.828,0.633
4114,-0.098,-0.832,0.633
4115,-0.086,-0.828,0.625
4116,-0.082,-0.832,0.621
4117,-0.07,-0.828,0.617
4118,-0.074,-0.828,0.613
4119,-0.082,-0.828,0.613
4120,-0.09,-0.832,0.609
4121,-0.082,-0.828,0.598
4122,-0.078,-0.816,0.59
4123,-0.074,-0.824,0.59
4124,-0.07,-0.82,0.582
4125,-0.059,-0.832,0.586
4126,-0.059,-0.84,0.582
4127,-0.051,-0.84,0.578
4128,-0.055,-0.844,0.57
4129,-0.059,-0.844,0.57
4130,-0.066,-0.848,0.566
4131,-0.07,-0.852,0.563
4132,-0.07,-0.848,0.559
4133,-0.07,-0.844,0.559
4134,-0.07,-0.84,0.559
4135,-0.066,-0.848,0.563
4136,-0.063,-0.859,0.559
4137,-0.059,-0.859,0.559
4138,-0.055,-0.855,0.559
4139,-0.047,-0.848,0.555
4140,-0.055,-0.836,0.555
4141,-0.055,-0.828,0.551
4142,-0.059,-0.824,0.551
4143,-0.059,-0.832,0.547
4144,-0.066,-0.84,0.543
4145,-0.055,-0.84,0.539
4146,-0.063,-0.832,0.527
4147,-0.066,-0.813,0.523
4148,-0.07,-0.801,0.512
4149,-0.09,-0.789,0.504
4150,-0.098,-0.789,0.508
4151,-0.105,-0.793,0.508
4152,-0.102,-0.805,0.512
4153,-0.09,-0.82,0.523
4154,-0.082,-0.836,0.535
4155,-0.07,-0.848,0.547
4156,-0.066,-0.863,0.563
4157,-0.074,-0.883,0.566
4158,-0.09,-0.922,0.563
4159,-0.082,-0.973,0.563
4160,-0.07,-1.004,0.547
4161,-0.051,-1.008,0.543
4162,-0.023,-0.992,0.555
4163,-0.012,-0.984,0.563
4164,-0.008,-0.973,0.57
4165,-0.016,-0.945,0.578
4166,-0.016,-0.922,0.586
4167,-0.012,-0.898,0.582
4168,-0.004,-0.871,0.582
4169,0.004,-0.844,0.586
4170,0.016,-0.824,0.59
4171,0.027,-0.809,0.586
4172,0.035,-0.797,0.586
4173,0.047,-0.789,0.586
4174,0.051,-0.77,0.59
4175,0.051,-0.773,0.594
4176,0.051,-0.781,0.582
4177,0.051,-0.801,0.574
4178,0.047,-0.813,0.566
4179,0.051,-0.82,0.563
4180,0.055,-0.828,0.563
4181,0.059,-0.828,0.57
4182,0.055,-0.832,0.57
4183,0.055,-0.844,0.582
4184,0.055,-0.863,0.586
4185,0.051,-0.871,0.586
4186,0.039,-0.879,0.578
4187,0.031,-0.883,0.574
4188,0.027,-0.879,0.57
4189,0.027,-0.875,0.563
4190,0.023,-0.867,0.555
4191,0.027,-0.867,0.547
4192,0.031,-0.859,0.543
4193,0.027,-0.855,0.539
4194,0.023,-0.852,0.535
4195,0.023,-0.848,0.527
4196,0.016,-0.844,0.52
4197,0.016,-0.844,0.516
4198,0.008,-0.848,0.512
4199,0.008,-0.848,0.504
